ACCT_ID,SUBSTATION,SUPPLY_TYPE,MR_SOURCE_CD,PAY_AMT,PAY_DATE,CURRENT_ASSESSMENT
2846272000,RANI MAHAL_20050,10,MOBILEBILL,1593,15-JUL-2025,1870.88
6718072000,JAIL CHOWRAHA_20051,10,SM,5288,25-JUL-2025,5773.71
0649172000,MUNNA LAL POWER HOUSE_20049,10,MOBILEBILL,4166,23-JUL-2025,4564.37
7268810263,SUTI MILL_20055,10,MOBILEBILL,23,22-JUL-2025,171.62
3339182000,MUNNA LAL POWER HOUSE_20049,10,MOBMRI,2007,04-JUL-2025,2345.14
7687282241,UNNAV GATE_20056,20,SM,11765,07-JUL-2025,11826.56
3726476158,MUNNA LAL POWER HOUSE_20049,10,SM,360,30-JUL-2025,411.62
9454871235,SUTI MILL_20055,10,MOBMRI,3974,22-JUL-2025,4371
4775082000,MUNNA LAL POWER HOUSE_20049,10,SM,4467,13-JUL-2025,4910.94
3290182000,RANI MAHAL_20050,10,MOBMRI,1516,08-JUL-2025,1764.24
8969275088,RANI MAHAL_20050,10,MRB,4666,20-JUL-2025,5090.17
6067118182,RANI MAHAL_20050,10,SM,2146,13-JUL-2025,2465.58
7551773726,SUTI MILL_20055,20,MRI,10952,11-JUL-2025,10942.23
6884972000,MUNNA LAL POWER HOUSE_20049,10,MOBILEBILL,9315,11-JUL-2025,2768.95
7801382000,PULIYA NO. 9_20052,10,SM,1878,18-JUL-2025,2175.59
4352282000,MUNNA LAL POWER HOUSE_20049,10,SM,389,06-JUL-2025,224.42
7241272000,SHIPRI_20053,10,MOBMRI,432,17-JUL-2025,496.45
3153572000,SUTI MILL_20055,10,MOBILEBILL,2438,12-JUL-2025,2810.49
1433972000,RANI MAHAL_20050,20,MOBMRI,738,11-JUL-2025,736.35
1326978048,RANI MAHAL_20050,10,SM,497,13-JUL-2025,567.85
6396672000,JAIL CHOWRAHA_20051,10,SM,321,11-JUL-2025,359.78
9377372000,SHIPRI_20053,10,MRI,6315,30-JUL-2025,6850.23
8732872000,SUTI MILL_20055,10,MOBILEBILL,4065,09-JUL-2025,3943.24
8332199010,UNNAV GATE_20056,10,OCR_CORAL,3091,11-JUL-2025,3472.99
2393572000,JAIL CHOWRAHA_20051,20,SM,778,05-JUL-2025,776.98
8777182000,MUNNA LAL POWER HOUSE_20049,10,OCR_CORAL,1991,05-JUL-2025,2323.97
4330093000,SUTI MILL_20055,52,MOBILEBILL,4973,14-JUL-2025,10431.7
5580014842,MUNNA LAL POWER HOUSE_20049,10,MOBILEBILL,1019,14-JUL-2025,294.7
1607139463,RANI MAHAL_20050,20,MOBMRI,585,10-JUL-2025,584.92
5059530006,MUNNA LAL POWER HOUSE_20049,10,MOBILEBILL,4536,10-JUL-2025,5023.97
4845372000,UNNAV GATE_20056,10,MOBMRI,875,08-JUL-2025,1047.92
0822488210,RANI MAHAL_20050,10,SM,567,08-JUL-2025,646.01
7555910624,SUTI MILL_20055,10,MOBMRI,1716,12-JUL-2025,1997.58
4765572000,SHIPRI_20053,20,MOBILEBILL,48,17-JUL-2025,1023
4054172000,PULIYA NO. 9_20052,10,SM,1231,08-JUL-2025,1459.18
8138504173,SUTI MILL_20055,10,MOBMRI,1232,22-JUL-2025,1434
5176147135,SHIPRI_20053,10,SM,15448,05-JUL-2025,5489.73
6167082000,MUNNA LAL POWER HOUSE_20049,10,MOBILEBILL,266,08-JUL-2025,275.58
4994375850,MUNNA LAL POWER HOUSE_20049,10,MOBMRI,1088,22-JUL-2025,1277.91
7995298712,UNNAV GATE_20056,10,MOBILEBILL,5252,13-JUL-2025,5771.87
0871172000,MUNNA LAL POWER HOUSE_20049,10,OCR_CORAL,2956,16-JUL-2025,3380.26
3916380529,MUNNA LAL POWER HOUSE_20049,101,,2700,01-JUL-2025,540
1867713879,MUNNA LAL POWER HOUSE_20049,10,MOBMRI,5000,19-JUL-2025,1829.74
6571172000,MUNNA LAL POWER HOUSE_20049,10,SM,5837,05-JUL-2025,6358.55
3929811360,UNNAV GATE_20056,10,SM,1945,13-JUL-2025,2267.13
7310281252,JAIL CHOWRAHA_20051,10,MOBMRI,7403,02-JUL-2025,2499.51
9523182000,RANI MAHAL_20050,10,MOBMRI,2908,20-JUL-2025,3220.83
7967636250,JAIL CHOWRAHA_20051,10,MOBILEBILL,11133,17-JUL-2025,4552.87
2293872000,MUNNA LAL POWER HOUSE_20049,10,MRB,12282,17-JUL-2025,-34935.39
7867112363,UNNAV GATE_20056,20,MOBMRI,2943,30-JUL-2025,824.03
4705606742,MUNNA LAL POWER HOUSE_20049,10,SM,2058,07-JUL-2025,2395.03
2781211304,UNNAV GATE_20056,10,MOBMRI,1480,23-JUL-2025,1707.97
6119955959,SUTI MILL_20055,10,MOBILEBILL,1037,17-JUL-2025,1239.13
6558372000,SHIPRI_20053,10,MOBILEBILL,197,09-JUL-2025,208.42
7374772000,SHIPRI_20053,10,SM,1290,11-JUL-2025,1522.97
9925268660,RANI MAHAL_20050,20,MOBMRI,838,07-JUL-2025,703.67
2840282000,PULIYA NO. 9_20052,10,SM,3200,16-JUL-2025,3579.71
5423972000,RANI MAHAL_20050,20,MOBILEBILL,1032,23-JUL-2025,1024.37
8029388665,MUNNA LAL POWER HOUSE_20049,10,SM,5943,04-JUL-2025,6487.46
6652099626,UNNAV GATE_20056,10,MOBILEBILL,1718,09-JUL-2025,2012.85
7886936115,MUNNA LAL POWER HOUSE_20049,20,MOBMRI,3504,08-JUL-2025,3487.54
5205872000,JAIL CHOWRAHA_20051,10,OCR_CORAL,1297,07-JUL-2025,1419.65
2028577126,SHIPRI_20053,10,SM,3909,08-JUL-2025,2417.1
1696372000,SUTI MILL_20055,10,SM,2742,05-JUL-2025,1527.93
7238972000,SHIPRI_20053,10,SM,12451,06-JUL-2025,6030.47
1720172000,JAIL CHOWRAHA_20051,20,SM,1011,20-JUL-2025,1001.59
9792596008,SUTI MILL_20055,20,MOBMRI,2033,11-JUL-2025,2036.46
4264017166,UNNAV GATE_20056,10,SM,761,08-JUL-2025,909.63
7453472000,RANI MAHAL_20050,10,MOBILEBILL,7279,23-JUL-2025,7879.51
7711272000,PULIYA NO. 9_20052,10,SM,3858,18-JUL-2025,4244.22
8760172000,JAIL CHOWRAHA_20051,10,SM,5371,04-JUL-2025,5869.16
4337572000,MUNNA LAL POWER HOUSE_20049,10,SM,3450,12-JUL-2025,3885.04
8453272000,MUNNA LAL POWER HOUSE_20049,10,,1018,13-JUL-2025,1206.33
3309977696,RANI MAHAL_20050,20,SM,579,21-JUL-2025,578.93
0368572000,HYDEL COLONY_20202,10,SM,3830,24-JUL-2025,4245.79
2888282000,SHIPRI_20053,10,SM,1753,06-JUL-2025,2053.91
9622502703,JAIL CHOWRAHA_20051,10,MRI,14964,15-JUL-2025,15878.82
3993472000,SHIPRI_20053,20,SM,2126,03-JUL-2025,2105.88
5020398783,MUNNA LAL POWER HOUSE_20049,10,MRI,5444,14-JUL-2025,5931.83
1309206976,PULIYA NO. 9_20052,10,MOBMRI,3285,14-JUL-2025,3673.44
4233182000,MUNNA LAL POWER HOUSE_20049,10,OCR_CORAL,1410,12-JUL-2025,1662.3
9285871671,PULIYA NO. 9_20052,10,SM,4576,05-JUL-2025,2644.13
3519472000,MUNNA LAL POWER HOUSE_20049,10,OCR_CORAL,2847,08-JUL-2025,3180.85
2092372000,PULIYA NO. 9_20052,10,SM,2267,11-JUL-2025,2634.82
8130272000,UNNAV GATE_20056,10,MOBILEBILL,3420,12-JUL-2025,1379.52
6276182000,RANI MAHAL_20050,10,SM,2744,18-JUL-2025,3051.66
4025572000,JAIL CHOWRAHA_20051,10,MOBMRI,4096,08-JUL-2025,4508.89
8515472000,MUNNA LAL POWER HOUSE_20049,10,OCR_CORAL,1745,14-JUL-2025,1932.83
9560378689,JAIL CHOWRAHA_20051,20,MOBMRI,2160,20-JUL-2025,2156.89
7123172000,MUNNA LAL POWER HOUSE_20049,10,MOBMRI,513,07-JUL-2025,314.19
6759886006,MUNNA LAL POWER HOUSE_20049,10,MRI,18046,19-JUL-2025,19086.22
5736872000,MUNNA LAL POWER HOUSE_20049,10,OCR_CORAL,1482,15-JUL-2025,1720.98
2517572000,SUTI MILL_20055,10,MOBILEBILL,7661,21-JUL-2025,2103.34
6397485036,MUNNA LAL POWER HOUSE_20049,10,,1577,18-JUL-2025,238.97
4424572000,RANI MAHAL_20050,20,MOBILEBILL,625,04-JUL-2025,625.42
0975472000,UNNAV GATE_20056,10,SM,2485,23-JUL-2025,2829
9496182000,SHIPRI_20053,10,SM,1133,09-JUL-2025,1347.37
6037901397,SUTI MILL_20055,10,,4820,29-JUL-2025,5272.31
3340772000,MUNNA LAL POWER HOUSE_20049,10,OCR_CORAL,1799,04-JUL-2025,2099.74
8956172000,JAIL CHOWRAHA_20051,10,MOBILEBILL,930,16-JUL-2025,1117.03
1881972178,RANI MAHAL_20050,10,SM,2333,16-JUL-2025,1511.64
6520122704,MUNNA LAL POWER HOUSE_20049,10,MOBILEBILL,4712,05-JUL-2025,5196.55
7980282000,MUNNA LAL POWER HOUSE_20049,10,SM,1727,29-JUL-2025,1929.62
2804172000,MUNNA LAL POWER HOUSE_20049,10,MOBMRI,2600,19-JUL-2025,2768.15
3694572000,RANI MAHAL_20050,20,SM,1515,14-JUL-2025,1508.1
2310316101,PULIYA NO. 9_20052,10,SM,388,07-JUL-2025,395.32
4757572000,SUTI MILL_20055,10,MOBILEBILL,3209,12-JUL-2025,3575.25
2800635459,SUTI MILL_20055,10,MRI,6341,07-JUL-2025,6941.87
6255182000,SHIPRI_20053,10,OCR_CORAL,1609,08-JUL-2025,345.77
7838941902,RANI MAHAL_20050,20,MOBMRI,769,16-JUL-2025,772.93
3725272000,MUNNA LAL POWER HOUSE_20049,10,OCR_CORAL,487,17-JUL-2025,566.03
1655030548,UNNAV GATE_20056,10,,2298,07-JUL-2025,0
0297304964,SHIPRI_20053,10,MOBMRI,773,25-JUL-2025,932.95
6794972000,MUNNA LAL POWER HOUSE_20049,10,MOBMRI,2414,10-JUL-2025,1385.11
6301272000,MUNNA LAL POWER HOUSE_20049,10,MOBMRI,696,08-JUL-2025,833.43
5639574272,SHIPRI_20053,10,SM,2684,07-JUL-2025,1635.41
6538941190,UNNAV GATE_20056,10,OCR_CORAL,1990,14-JUL-2025,2331.39
4477372012,MUNNA LAL POWER HOUSE_20049,10,SM,4485,08-JUL-2025,4943.07
