ACCT_ID,SUBSTATION,SUPPLY_TYPE,MR_SOURCE_CD,PAY_AMT,PAY_DAY
0216772000,NANDANPUTRA_20061,10,MOBMRI,1942.0,9
0234082000,BIJAULI_20057,10,MOBMRI,1190.0,22
5050472000,NEW GALLA MANDI_20201,10,MOBILEBILL,845.0,19
8341282000,MEDICAL_20054,10,MOBILEBILL,1027.0,24
1892082000,NANDANPUTRA_20061,10,SM,2894.0,29
2473498243,MEDICAL_20054,10,OCR_CORAL,548.0,24
9359272000,BIJAULI_20057,10,MOBILEBILL,3385.0,20
5010094446,GALLA MANDI_20048,10,MOBMRI,1478.0,22
3566033334,NAGRA_20060,10,MOBILEBILL,1675.0,10
4311972000,NAGRA_20060,10,MOBILEBILL,634.0,15
6165506987,NEW GALLA MANDI_20201,20,MOBMRI,13500.0,24
1694627578,MEDICAL_20054,10,MOBILEBILL,903.0,8
8707700007,NANDANPUTRA_20061,10,MOBMRI,440.0,14
3397463637,BIJAULI_20057,10,MOBMRI,2642.0,10
7652382000,MEDICAL_20054,10,MOBILEBILL,1705.0,8
6978272000,NANDANPUTRA_20061,10,MOBILEBILL,2137.0,18
2927972000,MEDICAL_20054,10,OCR_CORAL,1426.0,8
6950282000,NAGRA_20060,10,MOBILEBILL,2061.0,20
0282372000,NANDANPUTRA_20061,10,MOBMRI,3581.0,22
6272244874,MEDICAL_20054,10,MOBMRI,3276.0,22
4748808463,NANDANPUTRA_20061,20,OCR_CORAL,17112.0,5
8665472000,MEDICAL_20054,10,MOBMRI,2965.0,25
2874472000,NAGRA_20060,10,MOBILEBILL,1879.0,4
6685210564,GALLA MANDI_20048,10,MOBMRI,1777.0,11
9587185840,NANDANPUTRA_20061,93,MOBMRI,1475.0,19
4885870270,BIJAULI_20057,10,MOBMRI,1187.0,19
5888372000,NAGRA_20060,10,MOBILEBILL,2642.0,18
6050610732,NANDANPUTRA_20061,10,MOBILEBILL,3048.0,14
4252857062,NEW GALLA MANDI_20201,10,MOBILEBILL,289.0,30
4018472000,NANDANPUTRA_20061,10,MRI,6358.0,22
9722772000,NEW GALLA MANDI_20201,10,MOBILEBILL,2301.0,11
3852132312,HASARI_20059,10,SM,2070.0,8
7443003007,BIJAULI_20057,10,MOBMRI,295.0,12
9367978494,MEDICAL_20054,10,MOBILEBILL,589.0,21
1212557617,NANDANPUTRA_20061,10,MOBILEBILL,1122.0,18
6455182000,MEDICAL_20054,10,OCR_CORAL,5316.0,10
5061172000,NAGRA_20060,10,SM,2023.0,3
2780239856,GALLA MANDI_20048,20,SM,1539.0,2
1274172000,GALLA MANDI_20048,10,MOBILEBILL,4751.0,21
7014382000,NAGRA_20060,10,SM,4029.0,7
